,Folio,Ini_Date,End_Date,Op_Type,Comment,Comment Val,Units,Spot,TP,SL,Close_P,Close_Reason,Status,Margin
1420,Folio,2017-06-01 16:25,2017-06-01 17:05:00+00:00,Buy,BBL,0,1000,18.560270000000006,18.573270000000008,18.553770000000007,18.57604,TP,Closed,0.015769999999992734
1419,Folio,2017-06-01 16:30,2017-06-01 16:35:00+00:00,Buy,BBL,0,1000,18.57126,18.58426,18.56476,18.56066,SL,Closed,-0.010600000000000165
1418,Folio,2017-06-01 16:35,2017-06-01 17:05:00+00:00,Buy,BBL,0,1000,18.56066,18.57266,18.55466,18.57604,TP,Closed,0.015380000000000393
1417,Folio,2017-06-01 16:40,2017-06-01 17:15:00+00:00,Buy,BBL,0,1000,18.56256,18.57656,18.55556,18.57982,TP,Closed,0.017260000000000275
1416,Folio,2017-06-01 16:55,2017-06-01 17:15:00+00:00,Buy,BBL,0,1000,18.5647,18.5767,18.558699999999998,18.57982,TP,Closed,0.015120000000003131
1415,Folio,2017-06-01 23:55,2017-06-02 00:10:00+00:00,Sell,STO,85,1000,18.652520000000006,18.639520000000005,18.659020000000005,18.6351,TP,Closed,0.017420000000004876
1414,Folio,2017-06-02 00:00,2017-06-02 00:10:00+00:00,Sell,STO,85,1000,18.652520000000006,18.638520000000007,18.659520000000008,18.6351,TP,Closed,0.017420000000004876
1413,Folio,2017-06-02 06:20,2017-06-02 06:30:00+00:00,Sell,STO,87,1000,18.64522,18.632219999999997,18.651719999999997,18.65489,SL,Closed,-0.009670000000003398
1412,Folio,2017-06-02 06:25,2017-06-02 06:40:00+00:00,Sell,STO,85,1000,18.64848,18.63448,18.65548,18.65744,SL,Closed,-0.008960000000001855
1411,Folio,2017-06-02 06:30,2017-06-02 07:20:00+00:00,Sell,RSI,70,1000,18.65489,18.64289,18.660890000000002,18.66364,SL,Closed,-0.008749999999999147
1410,Folio,2017-06-02 06:35,2017-06-02 07:20:00+00:00,Sell,STO,85,1000,18.654020000000006,18.641020000000005,18.660520000000005,18.66364,SL,Closed,-0.009619999999994633
1409,Folio,2017-06-02 06:40,2017-06-02 07:25:00+00:00,Sell,RSI,71,1000,18.65744,18.64444,18.66394,18.66605,SL,Closed,-0.008609999999997342
1408,Folio,2017-06-02 06:45,2017-06-02 07:25:00+00:00,Sell,RSI,67,1000,18.65806,18.64606,18.66406,18.66605,SL,Closed,-0.007989999999999498
1407,Folio,2017-06-02 06:50,2017-06-02 07:20:00+00:00,Sell,RSI,65,1000,18.65404,18.64004,18.66104,18.66364,SL,Closed,-0.009600000000002495
1406,Folio,2017-06-02 06:55,2017-06-02 07:20:00+00:00,Sell,STO,91,1000,18.65194,18.63994,18.65794,18.66364,SL,Closed,-0.011700000000001154
1405,Folio,2017-06-02 07:00,2017-06-02 07:20:00+00:00,Sell,RSI,66,1000,18.65468,18.64068,18.66168,18.66364,SL,Closed,-0.008960000000001855
1404,Folio,2017-06-02 07:05,2017-06-02 07:20:00+00:00,Sell,STO,87,1000,18.65527,18.64327,18.661270000000002,18.66364,SL,Closed,-0.008369999999999322
1403,Folio,2017-06-02 07:10,2017-06-02 07:20:00+00:00,Sell,STO,85,1000,18.65288,18.639879999999998,18.65938,18.66364,SL,Closed,-0.010760000000001213
1402,Folio,2017-06-02 07:15,2017-06-02 07:25:00+00:00,Sell,STO,88,1000,18.6574,18.644399999999997,18.663899999999998,18.66605,SL,Closed,-0.00864999999999938
1401,Folio,2017-06-02 07:20,2017-06-02 08:30:00+00:00,Sell,STO,91,1000,18.66364,18.64964,18.670640000000002,18.68112,SL,Closed,-0.017479999999999052
1400,Folio,2017-06-02 07:25,2017-06-02 07:35:00+00:00,Sell,STO,91,1000,18.66605,18.654049999999998,18.67205,18.65046,TP,Closed,0.015589999999999549
1399,Folio,2017-06-02 07:40,2017-06-02 08:30:00+00:00,Sell,STO,87,1000,18.66326,18.65026,18.66976,18.68112,SL,Closed,-0.017859999999998877
1398,Folio,2017-06-02 07:55,2017-06-02 08:30:00+00:00,Sell,STO,91,1000,18.66202,18.649019999999997,18.668519999999997,18.68112,SL,Closed,-0.01910000000000167
1397,Folio,2017-06-02 08:00,2017-06-02 08:05:00+00:00,Sell,STO,85,1000,18.65491,18.64091,18.661910000000002,18.66246,SL,Closed,-0.007549999999998391
1396,Folio,2017-06-02 08:05,2017-06-02 08:30:00+00:00,Sell,STO,86,1000,18.66246,18.65046,18.66846,18.68112,SL,Closed,-0.018660000000000565
1395,Folio,2017-06-02 08:10,2017-06-02 08:30:00+00:00,Sell,STO,88,1000,18.66284,18.64884,18.66984,18.68112,SL,Closed,-0.01828000000000074
1394,Folio,2017-06-02 08:20,2017-06-02 08:30:00+00:00,Sell,STO,85,1000,18.66684,18.65384,18.67334,18.68112,SL,Closed,-0.014279999999999404
1393,Folio,2017-06-02 08:25,2017-06-02 08:30:00+00:00,Sell,STO,86,1000,18.66812,18.65412,18.67512,18.68112,SL,Closed,-0.013000000000001677
1392,Folio,2017-06-02 08:30,2017-06-02 09:25:00+00:00,Sell,STO,93,1000,18.68112,18.66812,18.68762,18.66798,TP,Closed,0.01313999999999993
